model,race,n,mean_shift,ci_lo,ci_hi,p
claude-haiku-4-5,White,300,0.66,0.08,1.24,0.0271
claude-haiku-4-5,Black,300,1.78,0.53,3.04,0.0055
claude-haiku-4-5,Hispanic,300,1.36,0.6,2.12,0.0005
gpt-4o-mini,White,300,-0.41,-1.52,0.69,0.4619
gpt-4o-mini,Black,300,0.05,-0.56,0.66,0.8712
gpt-4o-mini,Hispanic,300,-0.47,-1.3,0.36,0.2632
llama-3.2-3b,White,300,-1.7,-7.12,3.71,0.5363
llama-3.2-3b,Black,300,-0.31,-4.65,4.03,0.8872
llama-3.2-3b,Hispanic,300,-0.84,-5.78,4.11,0.7393
qwen-2.5-7b,White,300,-2.18,-4.19,-0.16,0.0346
qwen-2.5-7b,Black,300,-0.95,-2.64,0.74,0.2683
qwen-2.5-7b,Hispanic,300,-1.42,-3.04,0.21,0.0875
